,SKU58585e
"Calcium, mg",82
"Calcium, mEq",4.1
"Phosphorus, mg",44
"Magnesium, mg",6
"Iron, mg",1.9
"Zinc, mg",0.79
"Manganese, mcg",5
"Copper, mcg",95
"Iodine, mcg",6
"Selenium, mcg",2
"Sodium, mg",25
"Sodium, mEq",1.1
"Potassium, mg",110
"Potassium, mEq",2.8
"Chloride, mg",68
"Chloride, mEq",1.9
