,SKU66937
"Calcium, mg",105
"Calcium, mEq",5.3
"Phosphorus, mg",70
"Magnesium, mg",6
"Iron, mg",1.9
"Zinc, mg",0.79
"Manganese, mcg",5
"Copper, mcg",95
"Iodine, mcg",9
"Selenium, mcg",2
"Sodium, mg",46
"Sodium, mEq",2
"Potassium, mg",121
"Potassium, mEq",3.1
"Chloride, mg",68
"Chloride, mEq",1.9
