,FEATURES,FEATURES.1,FEATURES.2
0,Energy Density,1.0 kcal/ml,4.2 kJ/ml
1,Energy Distribution,Energy Distribution,Energy Distribution
2,Protein,16%,"50% Whey, 50% Potassium Caseinate"
3,Carbohydrate,49%,"Maltodextrin, Sucrose"
4,Fat,35%,"High Oleic Sunflower Oil, Rapeseed Oil, Soy Lecithin, Sunflower Oil, Milk Fat"
5,Glycaemic Index,.........................................,44
6,Nonprotein Calorie: Nitrogen Ratio,.........................................,128:1
7,Calorie: Nitrogen Ratio,.........................................,153:1
8,Osmolality,.........................................,340m0sm/kg Water
9,Renal Solute Load,.........................................,319m0sm/1000mL
10,,,
