,FEATURES,FEATURES.1,FEATURES.2
0,Energy Density,1.55 kcal/ml,6.5 kJ/ml
1,Energy Distribution,Energy Distribution,Energy Distribution
2,Protein,16%,Milk protein caseinates
3,Carbohydrate,47%,Maltodextrin
4,Fat,34%,"Vegetable Oils, Medium Chain Triglycerides (MCT 22% of fat)"
5,Dietary Fibre,22g/1000ml,100% partially hydrolysed guar gum (PHGG)
6,Nonprotein Calorie: Nitrogen Ratio,.........................................,139:1
7,Calorie: Nitrogen Ratio,.........................................,164:1
8,n-6:n-3 Ratio,.........................................,5:1
9,Osmolality,.........................................,510m0sm/kg Water
10,Water Content,.........................................,760 mL/1000 mL
11,Osmolarity,,389 mOsm/1000ml
12,,,
