,SKU62585
"Protein, g",19
"Fat, g",23
"Saturated Fat, g",2
"Trans Fat, g",0
"Polyunsaturated Fat, g",4
"Monounsaturated Fat, g",16
"Cholesterol, mg",7
"Carbohydrate, g",38
"Dietary Fiber, g",6
"Total Sugars, g",8.4
"Added Sugars, g",8.3
"L-Carnitine, mg",63
"Taurine, mg",38
"Water, g",172
Calories,420
